c:[0, 1, 2, 3, 5, 6, 9]
num:[1126, 166, 4151, 3998, 4280, 261, 1183]
c:[1, 2, 3, 4, 5, 8, 9]
num:[1162, 632, 1612, 4274, 3315, 3218, 2213]
c:[1, 3, 4, 5, 7, 8, 9]
num:[4605, 1693, 4318, 2535, 1328, 3457, 3601]
c:[0, 1, 2, 4, 5, 8, 9]
num:[3998, 2381, 1911, 3566, 3350, 89, 1106]
c:[0, 1, 3, 6, 7, 8, 9]
num:[1539, 1719, 3115, 4680, 931, 3468, 805]
c:[0, 1, 2, 3, 4, 8, 9]
num:[1593, 2419, 1697, 1807, 4899, 3136, 3887]
c:[0, 1, 3, 4, 5, 6, 9]
num:[3693, 3201, 2406, 3379, 4863, 3447, 4661]
c:[0, 1, 3, 4, 5, 8, 9]
num:[2205, 3092, 4192, 3561, 203, 2534, 3376]
c:[0, 2, 3, 5, 6, 7, 8]
num:[4518, 2976, 680, 2194, 1753, 416, 4919]
c:[0, 1, 3, 6, 7, 8, 9]
num:[218, 1985, 4418, 1148, 2970, 368, 4893]
c:[0, 1, 2, 3, 4, 5, 9]
num:[337, 2496, 2456, 3737, 2835, 600, 3432]
c:[0, 1, 3, 4, 5, 6, 8]
num:[45, 1826, 2448, 4560, 663, 1013, 955]
c:[1, 2, 4, 5, 7, 8, 9]
num:[2668, 187, 4201, 4234, 2231, 1781, 683]
c:[0, 2, 3, 5, 6, 7, 9]
num:[3669, 688, 4857, 132, 2570, 1471, 2189]
c:[0, 3, 4, 5, 6, 7, 9]
num:[3907, 4762, 4969, 1314, 2988, 4724, 1409]
c:[0, 1, 3, 4, 5, 7, 9]
num:[4341, 1133, 2206, 4318, 4731, 126, 1533]
c:[1, 2, 3, 4, 5, 6, 7]
num:[1766, 4389, 4223, 3984, 4896, 4932, 895]
c:[1, 2, 3, 4, 5, 6, 7]
num:[420, 135, 351, 4267, 3235, 2974, 309]
c:[0, 1, 2, 3, 4, 6, 7]
num:[30, 275, 3610, 3614, 4512, 4982, 1814]
c:[1, 2, 4, 5, 6, 8, 9]
num:[2101, 4358, 1456, 922, 700, 4347, 498]
c:[0, 1, 2, 3, 4, 6, 7]
num:[1808, 1992, 3572, 4607, 1014, 310, 796]
c:[2, 3, 4, 5, 6, 7, 8]
num:[4713, 4305, 4497, 1489, 4570, 2073, 4207]
c:[0, 2, 3, 4, 5, 7, 8]
num:[2124, 4574, 85, 3820, 52, 3908, 3180]
c:[0, 1, 3, 4, 5, 6, 7]
num:[2956, 4562, 546, 2395, 563, 4658, 3323]
c:[1, 2, 3, 4, 6, 7, 9]
num:[17, 3603, 284, 2794, 593, 1787, 1452]
c:[0, 1, 3, 4, 6, 8, 9]
num:[359, 3077, 690, 297, 1198, 1842, 2691]
c:[0, 1, 2, 3, 5, 7, 8]
num:[1245, 1536, 4481, 1562, 872, 4765, 2031]
c:[0, 1, 2, 5, 7, 8, 9]
num:[2457, 592, 794, 3317, 2968, 1646, 30]
c:[0, 4, 5, 6, 7, 8, 9]
num:[721, 2424, 4488, 4997, 1284, 3097, 2752]
c:[0, 2, 4, 5, 7, 8, 9]
num:[3235, 1093, 2903, 51, 478, 1621, 34]
c:[0, 1, 3, 5, 6, 7, 8]
num:[3589, 1749, 3572, 3765, 4485, 1784, 1643]
c:[1, 2, 3, 4, 5, 7, 9]
num:[1120, 1151, 17, 3076, 206, 4898, 1776]
c:[0, 1, 2, 3, 6, 7, 8]
num:[365, 3178, 2290, 2018, 2783, 2660, 3897]
c:[0, 1, 2, 4, 5, 7, 8]
num:[414, 1833, 2953, 2672, 3411, 2252, 749]
c:[0, 1, 3, 5, 7, 8, 9]
num:[911, 430, 3083, 3329, 4756, 1439, 3684]
c:[0, 1, 2, 4, 5, 6, 9]
num:[496, 3755, 3437, 498, 4924, 2190, 4791]
c:[0, 1, 4, 5, 7, 8, 9]
num:[45, 2163, 2419, 2491, 1804, 4636, 2476]
c:[0, 2, 3, 4, 5, 6, 7]
num:[4814, 4076, 2252, 4543, 3901, 66, 4784]
c:[0, 2, 3, 4, 5, 7, 9]
num:[2905, 811, 4671, 3016, 1157, 5000, 610]
c:[1, 2, 3, 4, 5, 6, 8]
num:[1915, 1856, 1959, 1750, 1656, 1299, 1535]
c:[0, 1, 2, 3, 5, 7, 8]
num:[2537, 4083, 4989, 4389, 4256, 761, 4760]
c:[0, 2, 3, 4, 5, 8, 9]
num:[1762, 2883, 3738, 4890, 4626, 513, 2526]
c:[0, 1, 2, 3, 5, 6, 9]
num:[4119, 550, 4090, 4774, 1674, 1499, 96]
c:[0, 1, 4, 6, 7, 8, 9]
num:[2986, 503, 283, 2572, 1329, 2005, 1542]
c:[0, 1, 3, 4, 6, 8, 9]
num:[34, 3678, 2269, 2479, 4080, 2992, 4547]
c:[0, 1, 2, 5, 7, 8, 9]
num:[3920, 1361, 1376, 817, 919, 3697, 2868]
c:[0, 4, 5, 6, 7, 8, 9]
num:[3048, 1341, 4316, 3283, 3218, 4786, 4113]
c:[0, 1, 2, 3, 5, 8, 9]
num:[2391, 3924, 3435, 3533, 3395, 1008, 4981]
c:[0, 1, 3, 5, 6, 7, 9]
num:[4775, 8, 505, 3166, 4753, 2698, 4993]
c:[1, 3, 5, 6, 7, 8, 9]
num:[124, 3970, 1455, 1001, 1482, 1210, 4370]
