c:[0, 1, 2, 4, 6, 7, 8, 9]
num:[534, 1310, 2213, 4460, 1268, 3060, 2953, 2368]
c:[0, 1, 2, 3, 4, 6, 7, 8]
num:[2296, 1913, 4629, 4653, 1032, 1078, 708, 4948]
c:[0, 1, 2, 3, 4, 6, 7, 8]
num:[1971, 1876, 216, 2491, 4036, 1710, 2564, 1300]
c:[0, 1, 2, 5, 6, 7, 8, 9]
num:[3685, 4849, 2738, 2491, 1217, 3159, 1607, 383]
c:[0, 1, 3, 4, 6, 7, 8, 9]
num:[3071, 4497, 4541, 3559, 6, 1106, 4876, 1460]
c:[0, 2, 3, 4, 6, 7, 8, 9]
num:[4941, 86, 1651, 3663, 2379, 1066, 855, 1237]
c:[0, 1, 3, 4, 5, 7, 8, 9]
num:[3504, 4673, 2492, 4297, 4458, 3149, 4352, 4460]
c:[0, 1, 2, 3, 4, 5, 6, 8]
num:[2300, 3928, 3010, 2080, 2379, 3389, 510, 2832]
c:[1, 2, 3, 4, 5, 7, 8, 9]
num:[475, 4315, 1927, 2781, 2909, 3077, 2026, 2401]
c:[0, 3, 4, 5, 6, 7, 8, 9]
num:[4815, 705, 1208, 573, 3118, 3325, 612, 4055]
c:[0, 1, 2, 3, 4, 5, 7, 9]
num:[1803, 3663, 907, 1150, 4451, 2991, 3310, 4029]
c:[0, 1, 2, 3, 4, 6, 7, 9]
num:[4256, 3093, 3502, 2600, 2182, 2287, 4696, 4785]
c:[0, 1, 2, 3, 4, 6, 7, 8]
num:[159, 4317, 1435, 1497, 2586, 2272, 3254, 846]
c:[0, 2, 3, 4, 5, 7, 8, 9]
num:[1035, 1354, 2411, 1785, 1978, 1007, 810, 4335]
c:[1, 2, 3, 4, 5, 7, 8, 9]
num:[3141, 2362, 3565, 1733, 3974, 2641, 4483, 3170]
c:[0, 2, 3, 4, 5, 6, 7, 8]
num:[969, 815, 8, 3794, 4221, 3298, 691, 1589]
c:[0, 1, 2, 3, 4, 6, 7, 8]
num:[2730, 3865, 1477, 4379, 888, 3518, 4010, 640]
c:[1, 2, 4, 5, 6, 7, 8, 9]
num:[3763, 2445, 3815, 4334, 2767, 2678, 4251, 927]
c:[0, 1, 2, 3, 4, 5, 8, 9]
num:[2452, 4028, 2234, 857, 887, 2618, 363, 1602]
c:[0, 1, 2, 3, 6, 7, 8, 9]
num:[4541, 1149, 1325, 2437, 2919, 4176, 4471, 4520]
c:[0, 1, 3, 4, 5, 6, 7, 8]
num:[4210, 4, 523, 4532, 2186, 3123, 245, 1570]
c:[0, 1, 2, 3, 4, 5, 6, 7]
num:[4304, 2253, 3388, 989, 4463, 3464, 2132, 439]
c:[0, 1, 2, 4, 5, 6, 8, 9]
num:[4270, 4063, 2934, 3144, 1503, 3424, 770, 2660]
c:[0, 1, 2, 4, 6, 7, 8, 9]
num:[3578, 3544, 4281, 2390, 4442, 3283, 1460, 4663]
c:[0, 1, 2, 3, 4, 6, 7, 9]
num:[2475, 2632, 1371, 4091, 4221, 3186, 4763, 3614]
c:[0, 1, 3, 4, 5, 7, 8, 9]
num:[2747, 817, 2528, 4531, 3987, 3637, 1488, 1067]
c:[0, 1, 2, 3, 5, 7, 8, 9]
num:[2019, 3419, 1139, 119, 565, 3152, 2173, 1422]
c:[0, 1, 2, 4, 6, 7, 8, 9]
num:[1471, 2721, 3752, 3390, 3152, 4649, 4714, 2063]
c:[0, 1, 2, 4, 5, 7, 8, 9]
num:[4936, 3767, 1728, 2013, 265, 1844, 1262, 661]
c:[0, 1, 2, 4, 5, 6, 7, 8]
num:[2520, 1155, 2777, 970, 1660, 4653, 4558, 2163]
c:[0, 1, 3, 4, 5, 6, 7, 8]
num:[1586, 2715, 2866, 4328, 1581, 2379, 3035, 1190]
c:[0, 1, 2, 3, 4, 6, 7, 8]
num:[2948, 4195, 3771, 2977, 1510, 677, 2988, 2653]
c:[1, 2, 3, 4, 6, 7, 8, 9]
